                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6419,                 3.4468,                 1.9813,                0.70592,                0.82635,                0.95006,                0.58905,                 1.2992,                 1.8546,                 1.7765,             0.00018234,             0.00018234,             0.00018234
                      2,                 1.3733,                 1.8705,                  1.787,                0.76105,                0.79369,                0.90291,                0.52995,                 1.4343,                 1.6479,                 1.9926,              0.0003563,              0.0003563,              0.0003563
                      3,                 1.4012,                  1.515,                 1.7814,                0.79718,                 0.9622,                0.95565,                0.62644,                 1.1811,                 1.2954,                 1.7717,             0.00051879,             0.00051879,             0.00051879
                      4,                 1.3766,                 1.3942,                 1.7813,                0.90098,                0.98756,                0.99262,                0.69068,                 1.0594,                0.85322,                 1.6927,              0.0005044,              0.0005044,              0.0005044
                      5,                 1.2817,                  1.223,                 1.7151,                0.92069,                0.97428,                0.96805,                0.68393,                0.99479,                0.63739,                 1.6436,             0.00048719,             0.00048719,             0.00048719
                      6,                 1.2424,                 1.0874,                 1.6684,                0.96198,                0.89084,                0.97958,                0.68985,                 1.0339,                 0.5783,                 1.6817,             0.00046999,             0.00046999,             0.00046999
                      7,                 1.2237,                 1.0408,                 1.6675,                0.90049,                0.93866,                0.96383,                0.68704,                 1.0637,                0.68762,                 1.6842,             0.00045279,             0.00045279,             0.00045279
                      8,                 1.1716,                0.91845,                 1.5961,                0.92941,                 0.9786,                  0.995,                0.69739,                 1.0326,                  0.571,                 1.6202,             0.00043559,             0.00043559,             0.00043559
                      9,                 1.1927,                0.91804,                 1.6285,                 0.9318,                0.99658,                  0.995,                0.72881,                0.90935,                0.48035,                 1.5133,             0.00041839,             0.00041839,             0.00041839
                     10,                 1.1347,                0.87027,                 1.5887,                0.94676,                0.99724,                0.99024,                0.71717,                0.93126,                0.52773,                 1.5236,             0.00040119,             0.00040119,             0.00040119
                     11,                  1.129,                0.81092,                 1.5568,                0.94969,                      1,                  0.995,                0.72332,                0.96006,                0.43897,                 1.5225,             0.00038399,             0.00038399,             0.00038399
                     12,                 1.0882,                0.79743,                 1.5383,                 0.9451,                      1,                  0.995,                0.74651,                0.92277,                0.44068,                  1.478,             0.00036679,             0.00036679,             0.00036679
                     13,                  1.072,                0.75548,                 1.5315,                0.96325,                0.98367,                 0.9871,                  0.748,                 0.8932,                0.43022,                  1.512,             0.00034958,             0.00034958,             0.00034958
                     14,                 1.0799,                0.75752,                 1.5358,                0.93287,                0.99073,                  0.995,                0.77485,                 0.8024,                0.43567,                 1.4409,             0.00033238,             0.00033238,             0.00033238
                     15,                 1.0105,                0.71228,                 1.4846,                0.96741,                  0.988,                  0.995,                0.78382,                0.81617,                 0.3948,                 1.4249,             0.00031518,             0.00031518,             0.00031518
                     16,                 1.0197,                0.66471,                 1.4842,                0.96078,                0.99192,                  0.995,                0.78558,                0.82287,                0.38519,                 1.4108,             0.00029798,             0.00029798,             0.00029798
                     17,                0.96916,                0.63342,                 1.4482,                 0.9682,                      1,                  0.995,                0.77072,                0.78133,                0.39965,                 1.3927,             0.00028078,             0.00028078,             0.00028078
                     18,                0.97455,                0.64036,                  1.461,                0.90661,                      1,                  0.995,                0.73127,                0.83246,                0.39728,                  1.446,             0.00026358,             0.00026358,             0.00026358
